Juego Número,Estado,Ganancias,Pérdidas
1,PERDEDOR,0,100
2,PERDEDOR,118,160
3,PERDEDOR,300,142
4,PERDEDOR,178,153
5,PERDEDOR,0,100
6,PERDEDOR,398,134
7,PERDEDOR,198,144
8,PERDEDOR,258,157
9,PERDEDOR,374,157
10,PERDEDOR,114,110
11,PERDEDOR,280,168
12,GANADOR,630,62
13,PERDEDOR,332,111
14,PERDEDOR,470,116
15,PERDEDOR,130,182
16,PERDEDOR,16,114
17,PERDEDOR,268,110
18,PERDEDOR,8,104
19,PERDEDOR,244,121
20,PERDEDOR,236,118
21,GANADOR,610,41
22,PERDEDOR,132,122
23,PERDEDOR,220,176
24,PERDEDOR,10,108
25,PERDEDOR,488,173
26,PERDEDOR,74,146
27,PERDEDOR,422,112
28,PERDEDOR,0,100
29,PERDEDOR,26,121
30,PERDEDOR,366,123
31,PERDEDOR,210,102
32,PERDEDOR,30,100
33,PERDEDOR,0,100
34,PERDEDOR,476,124
35,PERDEDOR,280,121
36,PERDEDOR,0,100
37,PERDEDOR,62,120
38,PERDEDOR,384,106
39,PERDEDOR,324,109
40,GANADOR,502,77
41,PERDEDOR,350,129
42,PERDEDOR,126,107
43,PERDEDOR,136,113
44,PERDEDOR,40,137
45,PERDEDOR,278,146
46,GANADOR,670,58
47,PERDEDOR,82,113
48,PERDEDOR,120,117
49,GANADOR,506,96
50,PERDEDOR,0,100
51,PERDEDOR,88,131
52,GANADOR,540,26
53,GANADOR,554,99
54,PERDEDOR,154,121
55,PERDEDOR,74,124
56,PERDEDOR,10,106
57,PERDEDOR,176,131
58,PERDEDOR,6,105
59,PERDEDOR,138,120
60,PERDEDOR,314,107
61,GANADOR,580,95
62,PERDEDOR,132,121
63,PERDEDOR,30,108
64,PERDEDOR,194,149
65,PERDEDOR,186,146
66,PERDEDOR,364,111
67,PERDEDOR,262,155
68,GANADOR,542,26
69,PERDEDOR,148,177
70,PERDEDOR,302,115
71,PERDEDOR,104,158
72,PERDEDOR,362,156
73,PERDEDOR,34,102
74,PERDEDOR,16,103
75,PERDEDOR,198,148
76,PERDEDOR,432,143
77,PERDEDOR,394,119
78,PERDEDOR,0,100
79,PERDEDOR,0,100
80,PERDEDOR,56,119
81,PERDEDOR,434,137
82,PERDEDOR,448,152
83,PERDEDOR,244,119
84,GANADOR,516,34
85,PERDEDOR,16,111
86,PERDEDOR,26,124
87,PERDEDOR,132,100
88,PERDEDOR,40,128
89,PERDEDOR,188,123
90,PERDEDOR,60,108
91,PERDEDOR,40,100
92,PERDEDOR,374,107
93,PERDEDOR,20,102
94,PERDEDOR,12,104
95,PERDEDOR,44,135
96,PERDEDOR,74,106
97,PERDEDOR,152,149
98,GANADOR,594,40
99,PERDEDOR,106,119
100,PERDEDOR,18,108
101,PERDEDOR,386,111
102,PERDEDOR,2,102
103,PERDEDOR,246,111
104,PERDEDOR,110,132
105,PERDEDOR,384,120
106,PERDEDOR,0,100
107,PERDEDOR,128,117
108,GANADOR,502,0
109,PERDEDOR,188,189
110,PERDEDOR,158,104
111,PERDEDOR,12,108
112,PERDEDOR,0,100
113,PERDEDOR,36,106
114,PERDEDOR,380,134
115,PERDEDOR,250,143
116,PERDEDOR,110,153
117,PERDEDOR,6,103
118,PERDEDOR,62,110
119,PERDEDOR,92,133
120,PERDEDOR,166,100
121,GANADOR,626,0
122,GANADOR,616,88
123,PERDEDOR,102,109
124,PERDEDOR,60,111
125,PERDEDOR,358,124
126,PERDEDOR,8,106
127,PERDEDOR,162,115
128,PERDEDOR,26,104
129,PERDEDOR,148,175
130,GANADOR,594,69
